E	water	muscle	lung	dry_spine	dry_rib	adipose	blood	heart	kidney	liver	lymph	pancreas	intestine	skull	cartilage	brain	spleen	iodine_blood	iron	pmma	aluminum	titanium	air	graphite	lead	breast_mammary	skin	iodine	eye_lens	ovary	red_marrow	yellow_marrow	testis	thyroid	bladder
10.5		4.6143694	4.8758064	1.2964053	23.005407	47.708215	2.4341836	5.072361	4.8276918	4.8754208	4.9631288	4.8713212	4.5909418	4.6132056	32.520685	6.0778465	4.8779322	4.9897079	6.4238897	1177.6684	3.4709166	61.19518	438.00912	0.0052664192	3.75729	1309.4936	3.8102212	4.7144062	703.77019	4.4786123	4.9227459	3.8921669	2.6393913	4.8280086	4.8492159	4.9753461
11.0		4.0253972	4.2576688	1.1313679	20.166255	41.830324	2.1336308	4.4297284	4.2154007	4.25699	4.3336378	4.2508492	4.0089137	4.0269986	28.511051	5.3059402	4.2596733	4.3563542	5.6220033	1039.7426	3.0374359	53.375827	385.10348	0.0045969177	3.2962655	1164.368	3.329837	4.1171968	621.37615	3.9104893	4.2971786	3.4051454	2.3132229	4.2145729	4.2344825	4.3436317
11.5		3.5360039	3.743419	0.99424674	17.77981	36.884125	1.8841966	3.8949578	3.7060978	3.74255	3.8099426	3.7349881	3.52493	3.5396603	25.138614	4.663036	3.7452713	3.8294916	4.9528122	922.80061	2.6776932	46.834893	340.52761	0.0040401181	2.9143442	1040.9489	2.9306786	3.6206118	551.73949	3.4383132	3.7769134	2.9999639	2.0424806	3.7044314	3.7231842	3.818094
12.0		3.1261448	3.3122426	0.87941859	15.759344	32.692099	1.6755092	3.4464537	3.2791348	3.3112558	3.3708469	3.3027273	3.1193069	3.1313238	22.281678	4.123421	3.313927	3.3877781	4.3899995	822.93395	2.3767335	41.322067	302.66717	0.0035734061	2.5953175	935.22938	2.5963766	3.2044429	492.44763	3.0427775	3.340827	2.6602005	1.815927	3.2768571	3.2945687	3.3774613
12.5		2.7804069	2.9481168	0.78256057	14.03737	29.115925	1.4996132	3.0675906	2.9186195	2.9470634	3.000034	2.9379022	2.7768998	2.7867068	19.845472	3.6672747	2.9496274	3.0147857	3.9132653	737.09029	2.1230835	36.643652	270.2763	0.0031793774	2.3267889	844.07229	2.3143503	2.8531435	441.62093	2.7090367	2.9726638	2.3732223	1.6249409	2.9159007	2.9326678	3.0053582
13.0		2.4868069	2.6385706	0.70031238	12.560785	26.046614	1.350338	2.7454272	2.6121847	2.6374866	2.6848039	2.6279387	2.4859274	2.4939229	17.75537	3.2791503	2.6399079	2.6977287	3.5067769	662.85763	1.9078428	32.648089	242.38157	0.0028444931	2.0991708	764.99329	2.0748227	2.5546212	397.77853	2.4255487	2.6597745	2.1292031	1.4628346	2.6091526	2.6250576	2.6890389
13.5		2.2359411	2.3738073	0.63003761	11.287457	23.397588	1.2228518	2.4697961	2.3501168	2.372718	2.4151801	2.3629648	2.2371396	2.2436415	15.952121	2.9468985	2.374976	2.426564	3.1580711	598.31265	1.7240407	29.2157	218.21465	0.0025581205	1.9049747	1674.4248	1.8701245	2.299382	359.74326	2.183256	2.3922257	1.9204278	1.3243699	2.3468678	2.3619821	2.4184908
14.0		2.0203457	2.1460427	0.56964397	10.183554	21.099238	1.1133261	2.2326174	2.1246987	2.1449657	2.1832353	2.1351406	2.0231894	2.0284532	14.38811	2.6608541	2.1470499	2.193312	2.8572227	541.90279	1.566154	26.250871	197.16044	0.0023118133	1.7382809	1519.9571	1.6941697	2.0798861	326.56798	1.9749685	2.1621262	1.7407681	1.2053963	2.1213057	2.1356917	2.1857577
14.5		1.8340837	1.9490794	0.51746749	9.2219153	19.095622	1.018721	2.0274577	1.9297875	1.9480268	1.9826583	1.9382273	1.8382302	1.8424627	13.025094	2.4133138	1.9499335	1.9916198	2.5963145	492.37568	1.4297964	23.677117	178.7266	0.0020988497	1.5943982	1384.5356	1.542119	1.8901339	297.49039	1.7949671	1.9631951	1.5853469	1.102617	1.9263057	1.9400186	1.9845053
15.0		1.672345	1.7778907	0.47216015	8.3802977	17.340881	0.93657757	1.8490977	1.7604012	1.7768706	1.8083301	1.7671678	1.6775222	1.6808916	11.831731	2.1980233	1.7786011	1.8163354	2.3689104	448.69814	1.3114197	21.432109	162.5102	0.0019137799	1.4695407	1265.2548	1.4100523	1.7252614	271.88438	1.6386174	1.7903396	1.4502095	1.0133654	1.7568725	1.7699615	1.809596
